category,tag,priority,notes
celestial,full moon,high,classic blacklight focal support
celestial,stars,high,common decorative accent
celestial,nebula haze,medium,use sparingly
mystical,third eye,medium,strong symbolic charge
mystical,zodiac wheel,medium,best for occult variants
mystical,crystal cluster,high,excellent glow subject
animal,wolf,high,classic poster archetype
animal,tiger,high,strong face readability
animal,owl,medium,mystical support
animal,panther,high,excellent black-field subject
figure,moon maiden,high,classic celestial feminine
figure,cosmic sorceress,high,strong fantasy anchor

nature,mushrooms,high,excellent fluorescence carrier
nature,waterfall,medium,use for fantasy scene variants
fantasy,dragon,high,strong 80s-adjacent mythic subject
fantasy,unicorn,medium,classic fantasy poster subject
decorative,sparkles,high,use as accent only
decorative,aura rings,medium,good framing device
decorative,smoke scrolls,medium,good atmosphere support



